species,matrix,active_ingredient,category_type,cause,dose_amount,dose_unit,frequency_per_day,duration_days,reason,mrl_limit,mrl_unit,withdrawal_period_days
cattle,milk,PGF2a,hormonal,Nutritional deficiency,10.0,tablet,2,2,Diarrhea,0.0,ug/kg,0
cattle,milk,PGF2a,hormonal,Fungal infection,433.12,mg,2,1,Skin lesions,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Nutritional deficiency,29.88,g,1,7,Skin lesions,0.0,ug/kg,1
sheep,meat,Oxytocin,hormonal,Parasitic infestation,30.79,ml,1,10,Poor weight gain,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,2.12,kg,2,1,Diarrhea,0.0,ug/kg,2
cattle,milk,GnRH,hormonal,Secondary bacterial infection,25.27,ml,2,3,Skin lesions,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Mycoplasma infection,2.0,tablet,1,10,Fever,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Parasitic infestation,9.78,litre,2,7,Wounds,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Viral infection,7.88,litre,3,4,Cough,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Viral infection,387.98,mg,3,14,Poor weight gain,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Bacterial infection,1.0,tablet,3,7,Diarrhea,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Bacterial infection,29.45,g,1,10,Diarrhea,0.0,ug/kg,3
goat,meat,PGF2a,hormonal,Viral infection,290.74,mg,2,10,Reduced production,0.0,ug/kg,3
cattle,milk,Oxytocin,hormonal,Poor hygiene,37.51,g,1,2,Skin lesions,0.0,ug/kg,2
poultry,meat,Oxytocin,hormonal,Secondary bacterial infection,5.0,sachet,2,10,Drop in egg production,0.0,ug/kg,0
pig,meat,PGF2a,hormonal,Contaminated feed/water,826.77,mg,1,14,Diarrhea,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Poor hygiene,1.0,tablet,1,5,Fever,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,21.67,g,1,1,Wounds,0.0,ug/kg,2
cattle,meat,Oxytocin,hormonal,Mycoplasma infection,898.34,mg,2,2,Fever,0.0,ug/kg,3
pig,meat,PGF2a,hormonal,Bacterial infection,22.88,ml,2,1,Lameness,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Bacterial infection,9.14,litre,2,10,Lameness,0.0,ug/kg,3
pig,meat,PGF2a,hormonal,Bacterial infection,13.88,ml,1,7,Lameness,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Contaminated feed/water,2.0,tablet,1,3,Skin lesions,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Parasitic infestation,30.85,ml,2,2,Lameness,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Parasitic infestation,2.0,tablet,3,7,Cough,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Poor hygiene,3.62,litre,1,10,Drop in egg production,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Secondary bacterial infection,240.11,mg,1,3,Drop in egg production,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Nutritional deficiency,5.0,tablet,1,3,Cough,0.0,ug/kg,1
pig,meat,Oxytocin,hormonal,Parasitic infestation,42.38,g,3,4,Poor weight gain,0.0,ug/kg,1
pig,meat,PGF2a,hormonal,Poor hygiene,38.33,g,3,3,Diarrhea,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Viral infection,12.38,g,1,1,Poor weight gain,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Secondary bacterial infection,941.61,mg,2,14,Diarrhea,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Bacterial infection,45.45,mg,2,7,Poor weight gain,0.0,ug/kg,0
cattle,meat,PGF2a,hormonal,Nutritional deficiency,0.5,tablet,1,4,Diarrhea,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Poor hygiene,2.0,sachet,1,2,Skin lesions,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Nutritional deficiency,30.3,g,1,4,Respiratory distress,0.0,ug/kg,0
goat,meat,Oxytocin,hormonal,Protozoal infection,1.0,tablet,1,3,Skin lesions,0.0,ug/kg,1
sheep,meat,Oxytocin,hormonal,Bacterial infection,0.5,tablet,2,5,Cough,0.0,ug/kg,3
cattle,milk,PGF2a,hormonal,Bacterial infection,46.97,g,2,7,Lameness,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Poor hygiene,1.0,sachet,1,14,Cough,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Parasitic infestation,859.12,mg,1,14,Drop in egg production,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,2.0,sachet,2,5,Poor weight gain,0.0,ug/kg,1
cattle,milk,Oxytocin,hormonal,Fungal infection,604.16,mg,3,4,Poor weight gain,0.0,ug/kg,3
cattle,milk,Oxytocin,hormonal,Bacterial infection,25.32,g,2,14,Cough,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Fungal infection,22.71,ml,2,2,Respiratory distress,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Viral infection,17.32,ml,2,3,Fever,0.0,ug/kg,0
cattle,milk,GnRH,hormonal,Contaminated feed/water,10.0,tablet,2,14,Drop in egg production,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Fungal infection,48.59,g,1,14,Skin lesions,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Fungal infection,1.0,tablet,2,1,Drop in egg production,0.0,ug/kg,0
cattle,milk,GnRH,hormonal,Bacterial infection,618.61,mg,2,4,Lameness,0.0,ug/kg,3
goat,meat,PGF2a,hormonal,Mycoplasma infection,609.65,mg,1,2,Wounds,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Fungal infection,8.11,g,1,1,Reduced production,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Fungal infection,4.51,litre,3,7,Drop in egg production,0.0,ug/kg,3
poultry,meat,Oxytocin,hormonal,Viral infection,1.0,sachet,2,1,Reduced production,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Poor hygiene,26.44,ml,2,14,Skin lesions,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Bacterial infection,367.71,mg,2,5,Drop in egg production,0.0,ug/kg,1
cattle,meat,PGF2a,hormonal,Poor hygiene,8.79,g,3,4,Cough,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Secondary bacterial infection,5.0,tablet,2,4,Fever,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Secondary bacterial infection,10.0,sachet,1,7,Respiratory distress,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Bacterial infection,1.0,sachet,3,10,Skin lesions,0.0,ug/kg,3
cattle,meat,GnRH,hormonal,Contaminated feed/water,27.42,ml,2,7,Poor weight gain,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Protozoal infection,40.16,g,2,1,Drop in egg production,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Protozoal infection,963.19,mg,2,10,Wounds,0.0,ug/kg,3
cattle,milk,GnRH,hormonal,Secondary bacterial infection,63.6,mg,1,7,Diarrhea,0.0,ug/kg,2
cattle,meat,PGF2a,hormonal,Secondary bacterial infection,5.0,tablet,2,10,Reduced production,0.0,ug/kg,3
goat,meat,PGF2a,hormonal,Parasitic infestation,513.81,mg,1,5,Poor weight gain,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Viral infection,131.72,mg,1,5,Cough,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Contaminated feed/water,12.98,g,2,3,Respiratory distress,0.0,ug/kg,3
pig,meat,PGF2a,hormonal,Bacterial infection,1.0,tablet,2,2,Drop in egg production,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Parasitic infestation,48.11,g,3,7,Fever,0.0,ug/kg,3
sheep,meat,PGF2a,hormonal,Contaminated feed/water,728.21,mg,2,10,Fever,0.0,ug/kg,0
pig,meat,PGF2a,hormonal,Mycoplasma infection,0.5,tablet,3,1,Cough,0.0,ug/kg,2
pig,meat,Oxytocin,hormonal,Bacterial infection,29.81,mg,2,2,Poor weight gain,0.0,ug/kg,2
cattle,milk,PGF2a,hormonal,Parasitic infestation,860.15,mg,1,3,Cough,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Contaminated feed/water,583.54,mg,1,1,Diarrhea,0.0,ug/kg,1
sheep,meat,Oxytocin,hormonal,Secondary bacterial infection,25.97,g,1,3,Fever,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Fungal infection,80.85,mg,1,10,Fever,0.0,ug/kg,3
cattle,meat,GnRH,hormonal,Parasitic infestation,217.05,mg,2,14,Skin lesions,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Nutritional deficiency,0.92,ml,1,4,Poor weight gain,0.0,ug/kg,2
pig,meat,Oxytocin,hormonal,Parasitic infestation,1.89,kg,1,4,Poor weight gain,0.0,ug/kg,3
sheep,meat,PGF2a,hormonal,Contaminated feed/water,14.39,g,2,10,Drop in egg production,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Parasitic infestation,1.0,tablet,1,4,Diarrhea,0.0,ug/kg,3
goat,meat,PGF2a,hormonal,Bacterial infection,21.14,ml,1,5,Wounds,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Poor hygiene,2.45,kg,2,7,Wounds,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,4.78,kg,2,5,Diarrhea,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Fungal infection,6.83,g,2,1,Wounds,0.0,ug/kg,1
poultry,egg,Oxytocin,hormonal,Poor hygiene,4.21,litre,1,1,Respiratory distress,0.0,ug/kg,0
goat,meat,Oxytocin,hormonal,Contaminated feed/water,5.0,tablet,1,3,Skin lesions,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Nutritional deficiency,29.49,g,1,4,Fever,0.0,ug/kg,2
cattle,meat,PGF2a,hormonal,Nutritional deficiency,5.0,tablet,2,14,Diarrhea,0.0,ug/kg,0
pig,meat,Oxytocin,hormonal,Nutritional deficiency,2.5,kg,1,3,Lameness,0.0,ug/kg,3
cattle,meat,Oxytocin,hormonal,Fungal infection,10.0,tablet,1,10,Reduced production,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Poor hygiene,49.6,g,1,4,Skin lesions,0.0,ug/kg,1
cattle,meat,PGF2a,hormonal,Parasitic infestation,10.0,tablet,1,10,Reduced production,0.0,ug/kg,3
cattle,meat,GnRH,hormonal,Bacterial infection,33.17,g,1,5,Skin lesions,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Nutritional deficiency,43.39,ml,3,3,Reduced production,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Parasitic infestation,28.46,g,2,10,Lameness,0.0,ug/kg,1
cattle,milk,Oxytocin,hormonal,Nutritional deficiency,2.17,g,1,14,Poor weight gain,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Contaminated feed/water,2.0,tablet,2,4,Wounds,0.0,ug/kg,1
cattle,meat,GnRH,hormonal,Viral infection,881.01,mg,1,4,Poor weight gain,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Protozoal infection,1.0,tablet,1,5,Poor weight gain,0.0,ug/kg,3
sheep,meat,PGF2a,hormonal,Secondary bacterial infection,1.0,tablet,3,4,Skin lesions,0.0,ug/kg,2
pig,meat,Oxytocin,hormonal,Bacterial infection,10.0,tablet,1,2,Reduced production,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Secondary bacterial infection,422.63,mg,1,1,Skin lesions,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Mycoplasma infection,551.56,mg,1,10,Lameness,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Bacterial infection,18.24,g,3,7,Lameness,0.0,ug/kg,1
cattle,meat,PGF2a,hormonal,Viral infection,208.33,mg,1,3,Wounds,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Parasitic infestation,34.33,ml,3,1,Reduced production,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Fungal infection,33.7,g,2,10,Cough,0.0,ug/kg,1
cattle,milk,GnRH,hormonal,Protozoal infection,10.0,tablet,3,10,Fever,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Bacterial infection,1.75,kg,2,3,Poor weight gain,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Secondary bacterial infection,152.08,mg,2,7,Drop in egg production,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Mycoplasma infection,690.04,mg,3,14,Lameness,0.0,ug/kg,1
cattle,meat,GnRH,hormonal,Mycoplasma infection,5.5,ml,2,7,Wounds,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Parasitic infestation,1.47,g,1,7,Cough,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Parasitic infestation,36.71,ml,1,10,Fever,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Protozoal infection,23.73,g,2,14,Lameness,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Parasitic infestation,47.6,g,2,3,Drop in egg production,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Nutritional deficiency,105.37,mg,1,5,Cough,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Mycoplasma infection,18.81,ml,1,7,Respiratory distress,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Fungal infection,47.12,g,2,3,Drop in egg production,0.0,ug/kg,1
cattle,milk,PGF2a,hormonal,Nutritional deficiency,22.14,g,1,4,Poor weight gain,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Nutritional deficiency,14.2,g,3,1,Lameness,0.0,ug/kg,3
cattle,milk,PGF2a,hormonal,Mycoplasma infection,780.11,mg,1,14,Diarrhea,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Poor hygiene,944.5,mg,3,4,Diarrhea,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Secondary bacterial infection,5.0,tablet,3,3,Diarrhea,0.0,ug/kg,0
pig,meat,PGF2a,hormonal,Mycoplasma infection,49.93,g,3,7,Skin lesions,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Viral infection,696.02,mg,3,1,Reduced production,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Poor hygiene,10.41,g,1,14,Fever,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Protozoal infection,2.0,sachet,3,4,Diarrhea,0.0,ug/kg,2
cattle,milk,PGF2a,hormonal,Protozoal infection,2.0,tablet,3,2,Lameness,0.0,ug/kg,1
sheep,meat,Oxytocin,hormonal,Secondary bacterial infection,531.61,mg,1,10,Poor weight gain,0.0,ug/kg,2
cattle,meat,GnRH,hormonal,Poor hygiene,561.1,mg,2,5,Skin lesions,0.0,ug/kg,1
poultry,egg,Oxytocin,hormonal,Fungal infection,10.0,sachet,2,7,Reduced production,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Parasitic infestation,36.14,g,2,2,Wounds,0.0,ug/kg,3
cattle,milk,PGF2a,hormonal,Protozoal infection,0.5,tablet,1,7,Drop in egg production,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Parasitic infestation,49.88,ml,2,5,Lameness,0.0,ug/kg,1
cattle,milk,Oxytocin,hormonal,Nutritional deficiency,15.74,g,2,2,Skin lesions,0.0,ug/kg,1
cattle,milk,Oxytocin,hormonal,Secondary bacterial infection,847.69,mg,1,5,Skin lesions,0.0,ug/kg,3
pig,meat,PGF2a,hormonal,Mycoplasma infection,16.25,g,1,3,Skin lesions,0.0,ug/kg,1
cattle,meat,Oxytocin,hormonal,Poor hygiene,11.74,ml,2,14,Fever,0.0,ug/kg,0
goat,meat,PGF2a,hormonal,Secondary bacterial infection,10.0,tablet,2,1,Wounds,0.0,ug/kg,0
cattle,meat,Oxytocin,hormonal,Nutritional deficiency,41.6,ml,3,14,Drop in egg production,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Parasitic infestation,10.0,tablet,2,5,Wounds,0.0,ug/kg,1
cattle,milk,GnRH,hormonal,Contaminated feed/water,41.32,ml,2,1,Fever,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Protozoal infection,20.3,g,3,4,Respiratory distress,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Contaminated feed/water,26.51,ml,2,4,Cough,0.0,ug/kg,0
pig,meat,PGF2a,hormonal,Parasitic infestation,31.87,g,2,2,Skin lesions,0.0,ug/kg,1
goat,meat,Oxytocin,hormonal,Viral infection,702.03,mg,1,7,Lameness,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Nutritional deficiency,366.04,mg,1,4,Skin lesions,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Mycoplasma infection,45.35,g,3,5,Respiratory distress,0.0,ug/kg,2
pig,meat,Oxytocin,hormonal,Secondary bacterial infection,537.02,mg,2,3,Lameness,0.0,ug/kg,0
cattle,milk,PGF2a,hormonal,Viral infection,43.29,ml,2,10,Fever,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Viral infection,2.0,tablet,1,3,Poor weight gain,0.0,ug/kg,0
goat,meat,Oxytocin,hormonal,Contaminated feed/water,1.52,g,2,3,Poor weight gain,0.0,ug/kg,2
cattle,milk,Oxytocin,hormonal,Poor hygiene,291.62,mg,1,14,Drop in egg production,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Viral infection,400.16,mg,2,4,Skin lesions,0.0,ug/kg,3
poultry,egg,Oxytocin,hormonal,Bacterial infection,3.66,litre,1,7,Reduced production,0.0,ug/kg,1
pig,meat,PGF2a,hormonal,Protozoal infection,28.35,g,1,2,Skin lesions,0.0,ug/kg,1
cattle,meat,PGF2a,hormonal,Fungal infection,15.14,g,2,3,Respiratory distress,0.0,ug/kg,2
cattle,milk,Oxytocin,hormonal,Nutritional deficiency,9.33,g,2,7,Reduced production,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Contaminated feed/water,692.2,mg,3,3,Lameness,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Nutritional deficiency,3.23,ml,3,5,Cough,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Nutritional deficiency,7.44,g,1,5,Respiratory distress,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Contaminated feed/water,33.07,ml,1,7,Reduced production,0.0,ug/kg,0
pig,meat,PGF2a,hormonal,Contaminated feed/water,23.47,ml,1,5,Reduced production,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Protozoal infection,363.76,mg,3,10,Lameness,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Viral infection,852.85,mg,2,5,Wounds,0.0,ug/kg,1
pig,meat,Oxytocin,hormonal,Contaminated feed/water,25.0,ml,1,2,Cough,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Viral infection,426.91,mg,2,5,Cough,0.0,ug/kg,3
poultry,egg,Oxytocin,hormonal,Parasitic infestation,12.76,g,2,4,Reduced production,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Parasitic infestation,1.04,kg,2,5,Respiratory distress,0.0,ug/kg,0
goat,meat,PGF2a,hormonal,Protozoal infection,181.09,mg,1,4,Drop in egg production,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Contaminated feed/water,6.0,g,1,3,Skin lesions,0.0,ug/kg,3
cattle,meat,GnRH,hormonal,Contaminated feed/water,957.0,mg,3,7,Poor weight gain,0.0,ug/kg,2
cattle,meat,Oxytocin,hormonal,Bacterial infection,26.68,ml,2,2,Diarrhea,0.0,ug/kg,2
pig,meat,Oxytocin,hormonal,Parasitic infestation,0.36,kg,1,1,Lameness,0.0,ug/kg,1
poultry,egg,Oxytocin,hormonal,Poor hygiene,2.0,sachet,3,3,Cough,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Poor hygiene,15.45,g,1,4,Lameness,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Viral infection,137.58,mg,1,4,Cough,0.0,ug/kg,2
cattle,meat,PGF2a,hormonal,Contaminated feed/water,10.0,tablet,3,14,Skin lesions,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Parasitic infestation,21.88,g,1,10,Reduced production,0.0,ug/kg,1
poultry,egg,Oxytocin,hormonal,Poor hygiene,10.0,sachet,1,1,Cough,0.0,ug/kg,3
sheep,meat,PGF2a,hormonal,Viral infection,102.38,mg,1,5,Skin lesions,0.0,ug/kg,0
pig,meat,Oxytocin,hormonal,Contaminated feed/water,1.53,kg,3,7,Respiratory distress,0.0,ug/kg,1
poultry,egg,Oxytocin,hormonal,Bacterial infection,10.0,sachet,2,4,Wounds,0.0,ug/kg,1
pig,meat,Oxytocin,hormonal,Mycoplasma infection,0.4,kg,3,4,Drop in egg production,0.0,ug/kg,2
cattle,meat,GnRH,hormonal,Viral infection,567.13,mg,3,2,Respiratory distress,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Bacterial infection,27.43,ml,2,1,Diarrhea,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Poor hygiene,4.43,kg,1,2,Reduced production,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Parasitic infestation,1.67,g,2,4,Lameness,0.0,ug/kg,0
goat,meat,Oxytocin,hormonal,Nutritional deficiency,704.23,mg,1,4,Cough,0.0,ug/kg,2
pig,meat,PGF2a,hormonal,Bacterial infection,2.64,kg,1,4,Reduced production,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,1.0,sachet,1,14,Wounds,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Bacterial infection,3.95,kg,1,3,Diarrhea,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Viral infection,0.5,tablet,1,10,Cough,0.0,ug/kg,3
cattle,milk,GnRH,hormonal,Mycoplasma infection,0.5,tablet,1,1,Drop in egg production,0.0,ug/kg,1
pig,meat,Oxytocin,hormonal,Parasitic infestation,40.88,ml,2,7,Respiratory distress,0.0,ug/kg,3
pig,meat,Oxytocin,hormonal,Secondary bacterial infection,117.45,mg,2,14,Wounds,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Nutritional deficiency,875.7,mg,1,1,Cough,0.0,ug/kg,0
cattle,milk,PGF2a,hormonal,Viral infection,1.0,tablet,1,14,Cough,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,17.96,g,1,10,Fever,0.0,ug/kg,3
goat,meat,Oxytocin,hormonal,Poor hygiene,2.0,tablet,2,14,Skin lesions,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Nutritional deficiency,318.63,mg,3,7,Lameness,0.0,ug/kg,2
poultry,meat,Oxytocin,hormonal,Contaminated feed/water,2.0,sachet,3,3,Wounds,0.0,ug/kg,2
goat,meat,PGF2a,hormonal,Poor hygiene,761.08,mg,1,1,Poor weight gain,0.0,ug/kg,0
goat,meat,PGF2a,hormonal,Contaminated feed/water,0.5,tablet,1,5,Reduced production,0.0,ug/kg,3
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,8.23,litre,1,14,Poor weight gain,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Parasitic infestation,17.56,ml,2,14,Lameness,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Bacterial infection,26.29,ml,3,1,Fever,0.0,ug/kg,3
pig,meat,PGF2a,hormonal,Secondary bacterial infection,0.59,kg,1,14,Respiratory distress,0.0,ug/kg,0
goat,meat,PGF2a,hormonal,Secondary bacterial infection,706.18,mg,1,1,Wounds,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Bacterial infection,8.71,litre,1,3,Wounds,0.0,ug/kg,3
cattle,meat,PGF2a,hormonal,Bacterial infection,2.88,ml,1,10,Fever,0.0,ug/kg,1
cattle,meat,Oxytocin,hormonal,Contaminated feed/water,23.85,g,2,14,Lameness,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Parasitic infestation,550.72,mg,1,7,Cough,0.0,ug/kg,1
pig,meat,Oxytocin,hormonal,Fungal infection,1.6,kg,1,5,Cough,0.0,ug/kg,3
cattle,meat,PGF2a,hormonal,Poor hygiene,827.22,mg,1,5,Reduced production,0.0,ug/kg,3
sheep,meat,Oxytocin,hormonal,Protozoal infection,41.19,ml,2,7,Fever,0.0,ug/kg,0
sheep,meat,PGF2a,hormonal,Mycoplasma infection,774.36,mg,3,4,Lameness,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Bacterial infection,0.57,kg,1,7,Drop in egg production,0.0,ug/kg,1
sheep,meat,Oxytocin,hormonal,Bacterial infection,2.0,tablet,1,2,Diarrhea,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Fungal infection,1.21,kg,2,2,Diarrhea,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Parasitic infestation,1.0,tablet,2,10,Respiratory distress,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Contaminated feed/water,4.95,kg,3,2,Lameness,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Protozoal infection,24.72,g,2,5,Wounds,0.0,ug/kg,3
poultry,egg,Oxytocin,hormonal,Mycoplasma infection,49.11,g,1,7,Diarrhea,0.0,ug/kg,0
sheep,meat,Oxytocin,hormonal,Nutritional deficiency,881.71,mg,2,14,Wounds,0.0,ug/kg,3
cattle,milk,Oxytocin,hormonal,Nutritional deficiency,860.05,mg,1,1,Wounds,0.0,ug/kg,0
pig,meat,Oxytocin,hormonal,Bacterial infection,12.88,g,2,1,Cough,0.0,ug/kg,2
sheep,meat,PGF2a,hormonal,Nutritional deficiency,18.36,ml,3,4,Reduced production,0.0,ug/kg,2
sheep,meat,Oxytocin,hormonal,Protozoal infection,25.68,ml,2,4,Fever,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Mycoplasma infection,1.35,litre,2,2,Cough,0.0,ug/kg,1
goat,meat,PGF2a,hormonal,Parasitic infestation,970.61,mg,1,10,Poor weight gain,0.0,ug/kg,2
poultry,meat,Oxytocin,hormonal,Protozoal infection,5.0,sachet,1,10,Poor weight gain,0.0,ug/kg,3
sheep,meat,PGF2a,hormonal,Parasitic infestation,32.24,g,2,14,Cough,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Fungal infection,2.0,tablet,1,2,Cough,0.0,ug/kg,0
goat,meat,Oxytocin,hormonal,Secondary bacterial infection,422.13,mg,1,4,Lameness,0.0,ug/kg,2
poultry,egg,Oxytocin,hormonal,Nutritional deficiency,2.7,kg,2,14,Lameness,0.0,ug/kg,0
poultry,egg,Oxytocin,hormonal,Nutritional deficiency,2.0,sachet,3,7,Lameness,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Fungal infection,7.95,ml,2,5,Cough,0.0,ug/kg,2
cattle,milk,GnRH,hormonal,Bacterial infection,37.34,ml,2,4,Fever,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Secondary bacterial infection,49.87,g,3,5,Fever,0.0,ug/kg,2
goat,meat,Oxytocin,hormonal,Fungal infection,17.78,ml,2,5,Wounds,0.0,ug/kg,0
poultry,meat,Oxytocin,hormonal,Parasitic infestation,19.83,g,1,2,Fever,0.0,ug/kg,1
poultry,meat,Oxytocin,hormonal,Contaminated feed/water,0.68,litre,2,1,Fever,0.0,ug/kg,1
sheep,meat,PGF2a,hormonal,Nutritional deficiency,47.61,g,2,10,Skin lesions,0.0,ug/kg,2
poultry,meat,Oxytocin,hormonal,Contaminated feed/water,5.0,sachet,1,3,Drop in egg production,0.0,ug/kg,0
